Row ID,Ship Mode,Customer ID,Segment,City,State,Postal Code,Region,Category,Sub-Category,Sales,Quantity,Discount,Profit
849,Standard Class,GA-14725,Consumer,Lorain,Ohio,44052,East,Furniture,Furnishings,48.896,4,0.2,8.5568
4010,Standard Class,SC-20725,Consumer,Los Angeles,California,90036,West,Furniture,Furnishings,474.43,11,0,199.2606
6683,First Class,DP-13390,Home Office,Franklin,Wisconsin,53132,Central,Office Supplies,Binders,3.6,2,0,1.728
8070,Standard Class,JM-15250,Consumer,Huntsville,Texas,77340,Central,Office Supplies,Storage,454.56,5,0.2,-107.958
8071,Standard Class,JM-15250,Consumer,Huntsville,Texas,77340,Central,Furniture,Furnishings,141.42,5,0.6,-187.3815
8072,Standard Class,JM-15250,Consumer,Huntsville,Texas,77340,Central,Furniture,Chairs,310.744,4,0.3,-26.6352
8073,Standard Class,JM-15250,Consumer,Huntsville,Texas,77340,Central,Office Supplies,Art,12.736,4,0.2,2.2288
8074,Standard Class,JM-15250,Consumer,Huntsville,Texas,77340,Central,Office Supplies,Binders,6.47,5,0.8,-9.705
8075,Standard Class,JM-15250,Consumer,Huntsville,Texas,77340,Central,Office Supplies,Binders,13.748,14,0.8,-22.6842
8076,Standard Class,JM-15250,Consumer,Huntsville,Texas,77340,Central,Office Supplies,Appliances,15.224,2,0.8,-38.8212
1341,First Class,AS-10045,Corporate,Jacksonville,North Carolina,28540,South,Technology,Machines,695.7,2,0.5,-27.828
1342,First Class,AS-10045,Corporate,Jacksonville,North Carolina,28540,South,Office Supplies,Binders,15.66,5,0.7,-12.528
1343,First Class,AS-10045,Corporate,Jacksonville,North Carolina,28540,South,Office Supplies,Binders,28.854,6,0.7,-21.1596
8361,Second Class,TS-21655,Consumer,El Paso,Texas,79907,Central,Office Supplies,Art,31.744,2,0.2,3.968
8362,Second Class,TS-21655,Consumer,El Paso,Texas,79907,Central,Office Supplies,Appliances,5.432,2,0.8,-13.58
8363,Second Class,TS-21655,Consumer,El Paso,Texas,79907,Central,Furniture,Tables,913.43,5,0.3,-169.637
8364,Second Class,TS-21655,Consumer,El Paso,Texas,79907,Central,Office Supplies,Storage,372.144,3,0.2,27.9108
9686,Second Class,FW-14395,Corporate,Los Angeles,California,90032,West,Technology,Accessories,16.59,1,0,5.8065
5258,Standard Class,DL-13315,Consumer,Rancho Cucamonga,California,91730,West,Office Supplies,Paper,38.88,6,0,18.6624
9491,Standard Class,CM-12385,Consumer,San Francisco,California,94110,West,Office Supplies,Binders,2022.272,8,0.2,682.5168
9492,Standard Class,CM-12385,Consumer,San Francisco,California,94110,West,Office Supplies,Art,9.12,3,0,3.1008
4937,Standard Class,DP-13390,Home Office,Tuscaloosa,Alabama,35401,South,Office Supplies,Binders,33.74,7,0,15.5204
978,First Class,BW-11110,Corporate,Detroit,Michigan,48205,Central,Technology,Machines,3059.982,2,0.1,679.996
2121,Standard Class,TS-21085,Consumer,Ormond Beach,Florida,32174,South,Office Supplies,Binders,2.808,3,0.7,-1.9656
7372,Second Class,JF-15190,Consumer,Long Beach,California,90805,West,Office Supplies,Storage,153.78,11,0,44.5962
7373,Second Class,JF-15190,Consumer,Long Beach,California,90805,West,Office Supplies,Storage,61.02,3,0,0.6102
7374,Second Class,JF-15190,Consumer,Long Beach,California,90805,West,Office Supplies,Supplies,110.11,7,0,31.9319
7375,Second Class,JF-15190,Consumer,Long Beach,California,90805,West,Office Supplies,Fasteners,7.89,1,0,3.5505
2290,First Class,RS-19420,Corporate,Seattle,Washington,98115,West,Furniture,Tables,892.98,2,0,80.3682
7221,Standard Class,BP-11290,Consumer,Philadelphia,Pennsylvania,19140,East,Office Supplies,Binders,274.491,3,0.7,-228.7425
1846,Second Class,DA-13450,Home Office,Washington,District of Columbia,20016,East,Office Supplies,Paper,40.08,6,0,19.2384
1847,Second Class,DA-13450,Home Office,Washington,District of Columbia,20016,East,Furniture,Furnishings,37.68,2,0,15.8256
5900,Standard Class,LS-16945,Corporate,San Francisco,California,94110,West,Office Supplies,Envelopes,9.78,1,0,4.89
8641,Standard Class,DB-13120,Corporate,Dallas,Texas,75217,Central,Office Supplies,Binders,760.98,5,0.8,-1141.47
6619,Second Class,CP-12085,Corporate,Springfield,Missouri,65807,Central,Office Supplies,Paper,32.4,5,0,15.552
6620,Second Class,CP-12085,Corporate,Springfield,Missouri,65807,Central,Office Supplies,Art,209.94,6,0,54.5844
