,Name,Sex,Age,Height,Weight,Team,Games,Year,Sport,Event,Medal
0,Paavo Johannes Aaltonen,M,28.0,175.0,64.0,Finland,1948 Summer,1948,Gymnastics,Gymnastics Men's Individual All-Around,Bronze
1,Paavo Johannes Aaltonen,M,28.0,175.0,64.0,Finland,1948 Summer,1948,Gymnastics,Gymnastics Men's Team All-Around,Gold
2,Paavo Johannes Aaltonen,M,28.0,175.0,64.0,Finland,1948 Summer,1948,Gymnastics,Gymnastics Men's Horse Vault,Gold
3,Paavo Johannes Aaltonen,M,28.0,175.0,64.0,Finland,1948 Summer,1948,Gymnastics,Gymnastics Men's Pommelled Horse,Gold
4,Paavo Johannes Aaltonen,M,32.0,175.0,64.0,Finland,1952 Summer,1952,Gymnastics,Gymnastics Men's Team All-Around,Bronze
5,Pepijn Aardewijn,M,26.0,189.0,72.0,Netherlands,1996 Summer,1996,Rowing,Rowing Men's Lightweight Double Sculls,Silver
6,Ann Kristin Aarnes,F,23.0,182.0,64.0,Norway,1996 Summer,1996,Football,Football Women's Football,Bronze
7,Giovanni Abagnale,M,21.0,198.0,90.0,Italy,2016 Summer,2016,Rowing,Rowing Men's Coxless Pairs,Bronze
8,Jos Luis Abajo Gmez,M,30.0,194.0,87.0,Spain,2008 Summer,2008,Fencing,"Fencing Men's epee, Individual",Bronze
9,Patimat Abakarova,F,21.0,165.0,49.0,Azerbaijan,2016 Summer,2016,Taekwondo,Taekwondo Women's Flyweight,Bronze
10,Mariya Vasilyevna Abakumova (-Tarabina),F,22.0,179.0,80.0,Russia,2008 Summer,2008,Athletics,Athletics Women's Javelin Throw,Silver
11,Aleksey Aleksandrovich Abalmasov,M,28.0,180.0,83.0,Belarus,2008 Summer,2008,Canoeing,"Canoeing Men's Kayak Fours, 1,000 metres",Gold
12,Luc Abalo,M,23.0,182.0,86.0,France,2008 Summer,2008,Handball,Handball Men's Handball,Gold
13,Luc Abalo,M,27.0,182.0,86.0,France,2012 Summer,2012,Handball,Handball Men's Handball,Gold
14,Luc Abalo,M,31.0,182.0,86.0,France,2016 Summer,2016,Handball,Handball Men's Handball,Silver
15,Jouan Patrice Abanda Etong,M,22.0,185.0,82.0,Cameroon,2000 Summer,2000,Football,Football Men's Football,Gold
16,Jos Mara Abarca Plotas,M,22.0,186.0,83.0,Spain,1996 Summer,1996,Water Polo,Water Polo Men's Water Polo,Gold
17,Stephen Anthony Abas,M,26.0,165.0,55.0,United States,2004 Summer,2004,Wrestling,"Wrestling Men's Featherweight, Freestyle",Silver
18,Alejandro Abascal Garca,M,28.0,181.0,82.0,Spain,1980 Summer,1980,Sailing,Sailing Mixed Two Person Heavyweight Dinghy,Gold
19,Jos Manuel Abascal Gmez,M,26.0,182.0,67.0,Spain,1984 Summer,1984,Athletics,"Athletics Men's 1,500 metres",Bronze
20,Tamila Rashidovna Abasova,F,21.0,163.0,60.0,Russia,2004 Summer,2004,Cycling,Cycling Women's Sprint,Silver
21,Jol Marc Abati,M,38.0,190.0,85.0,France,2008 Summer,2008,Handball,Handball Men's Handball,Gold
